index,Drug_Name,Reason,Description,Treatment
131, Fludrocortisone (Mineralocorticoid),Adrenal Insufficiency,Mineralocorticoid replacement therapy for adrenal insufficiency,Prescribe fludrocortisone to replace aldosterone function in adrenal insufficiency. Monitor electrolytes and blood pressure closely.
132, Stress Dose Steroids,Adrenal Insufficiency,Steroid supplementation during stress in adrenal insufficiency,Administer stress dose steroids (e.g. hydrocortisone) during illness or stress to prevent adrenal crisis in adrenal insufficiency. Carry emergency medical identification.
133, Dietary Sodium Restriction,Adrenal Insufficiency,Low sodium diet to prevent fluid imbalance in adrenal insufficiency,Adhere to dietary sodium restriction to prevent fluid imbalance and electrolyte disturbances in adrenal insufficiency. Monitor fluid status and blood pressure.
134, Nonsteroidal Anti-Inflammatory Drugs (NSAIDs),Adult Still's Disease,Medication for inflammation and pain in Adult Still's Disease,Use NSAIDs (e.g. ibuprofen) to reduce inflammation and manage pain in Adult Still's Disease. Monitor for gastrointestinal side effects and renal function.
135, Methotrexate (15 mg tablet),Adult Still's Disease,Disease-modifying antirheumatic drug (DMARD) for Adult Still's Disease,Take methotrexate 15 mg tablet as a first-line DMARD for Adult Still's Disease to suppress disease activity. Monitor for liver function and blood counts.
136, Tocilizumab (IV infusion),Adult Still's Disease,Monoclonal antibody therapy for Adult Still's Disease,Receive tocilizumab IV infusion to block interleukin-6 (IL-6) in Adult Still's Disease and reduce inflammation. Monitor for infusion reactions and infection risk.
137, Corticosteroids (e.g. prednisone),Adult Still's Disease,Systemic corticosteroid therapy for Adult Still's Disease flares,Use corticosteroids like prednisone for acute flares of Adult Still's Disease. Taper doses gradually and monitor for adrenal suppression.
138, Ranibizumab (0.5 mg),Age-Related Macular Degeneration,VEGF inhibitor for neovascular age-related macular degeneration treatment,Administer ranibizumab 0.5 mg intravitreal injection monthly for neovascular age-related macular degeneration treatment<br> monitor for intraocular pressure and endophthalmitis.
139, Granulocyte Colony-Stimulating Factor (G-CSF),Agranulocytosis,Hematopoietic growth factor for agranulocytosis,Administer granulocyte colony-stimulating factor (G-CSF) to stimulate white blood cell production in agranulocytosis. Monitor blood counts closely.
140, Antibiotics (e.g. broad-spectrum),Agranulocytosis,Empiric antibiotic therapy for neutropenic fever,Initiate broad-spectrum antibiotics for empiric treatment of neutropenic fever in agranulocytosis. Adjust therapy based on culture results.
141, Intravenous Immunoglobulin (IVIG),Agranulocytosis,Immunoglobulin therapy for severe infections in agranulocytosis,Consider intravenous immunoglobulin (IVIG) for severe infections in agranulocytosis. Administer under infectious disease specialist's guidance.
142, Transfusion Support,Agranulocytosis,Blood transfusions for severe anemia in agranulocytosis,Provide blood transfusions to manage severe anemia secondary to agranulocytosis. Monitor hemoglobin levels and transfusion reactions.
143, Oxygen Therapy,Air Embolism,Supplemental oxygen therapy for air embolism,Initiate oxygen therapy to improve oxygenation and treat respiratory distress in air embolism. Position patient in left lateral decubitus or Trendelenburg position.
144, Hyperbaric Oxygen Therapy,Air Embolism,High-pressure oxygen therapy for air embolism,Consider hyperbaric oxygen therapy for air embolism to rapidly eliminate air bubbles from circulation. Administer under critical care supervision.
145, Aspirin (81 mg tablet),Air Embolism,Antiplatelet therapy to prevent thrombosis in air embolism,Administer aspirin 81 mg tablet to reduce platelet aggregation and prevent thrombosis in air embolism. Monitor for bleeding complications.
146, Beta-Blockers (e.g. propranolol),Akathisia,Medication for akathisia symptoms,Use beta-blockers like propranolol to manage physical symptoms of akathisia (restlessness/ agitation). Start with low doses and titrate based on response.
147, Benzodiazepines (e.g. lorazepam),Akathisia,Anxiolytic therapy for akathisia,Prescribe benzodiazepines like lorazepam for acute management of akathisia-related anxiety and agitation. Use short-term to avoid dependency.
148, Anticholinergics (e.g. benztropine),Akathisia,Medication to counteract extrapyramidal symptoms in akathisia,Consider anticholinergic agents like benztropine to reduce involuntary movements associated with akathisia. Monitor for side effects and response.
149, Cognitive Behavioral Therapy (CBT),Akathisia,Psychotherapy for coping with akathisia,Engage in cognitive behavioral therapy (CBT) to address distress and maladaptive thoughts associated with akathisia. Develop coping strategies and relaxation techniques.
150, Beta-Blockers (e.g. propranolol),Akathisia,Medication for akathisia symptoms,Use beta-blockers like propranolol to manage physical symptoms of akathisia (restlessness/ agitation). Start with low doses and titrate based on response.
151, Benzodiazepines (e.g. lorazepam),Akathisia,Anxiolytic therapy for akathisia,Prescribe benzodiazepines like lorazepam for acute management of akathisia-related anxiety and agitation. Use short-term to avoid dependency.
152, Anticholinergics (e.g. benztropine),Akathisia,Medication to counteract extrapyramidal symptoms in akathisia,Consider anticholinergic agents like benztropine to reduce involuntary movements associated with akathisia. Monitor for side effects and response.
153, Cognitive Behavioral Therapy (CBT),Akathisia,Psychotherapy for coping with akathisia,Engage in cognitive behavioral therapy (CBT) to address distress and maladaptive thoughts associated with akathisia. Develop coping strategies and relaxation techniques.
154, Naltrexone (50 mg tablet),Alcohol Use Disorder,Medication for alcohol dependence,Take naltrexone 50 mg tablet for alcohol use disorder. Attend counseling sessions and support groups. Establish sober social activities and avoid triggers.
155, Disulfiram (250 mg tablet),Alcohol Use Disorder,Deterrent therapy for alcoholism,Use disulfiram 250 mg tablet to discourage alcohol consumption by causing adverse reactions. Build a strong support network and engage in hobbies or activities that promote sobriety.
156, Acamprosate (333 mg tablet),Alcohol Use Disorder,Medication to maintain sobriety,Take acamprosate 333 mg tablet to support abstinence from alcohol. Practice mindfulness and stress reduction techniques. Develop coping strategies for cravings.
157, Cognitive Behavioral Therapy (CBT),Alcohol Use Disorder,Psychotherapy for alcohol addiction,Participate in cognitive behavioral therapy (CBT) for alcohol use disorder. Identify triggers and develop relapse prevention plans. Engage in healthy lifestyle changes.
158, Psychotherapy,Alcohol Use Disorder,Behavioral therapy for alcohol addiction,Participate in psychotherapy for alcohol use disorder treatment. Develop coping skills and relapse prevention strategies. Engage in sober social activities and support groups.
159, Medication-Assisted Treatment (MAT),Alcohol Use Disorder,Combination therapy for alcohol dependence,Use medication-assisted treatment (MAT) in combination with behavioral therapy for alcohol dependence. Follow prescribed regimen and attend regular follow-ups.
160, Abstinence from Alcohol,Alcoholic Liver Disease,Lifestyle modification to manage alcoholic liver disease,Avoid alcohol consumption completely to manage alcoholic liver disease. Engage in counseling or support groups for alcohol dependence.
161, Medication for Alcohol Withdrawal Symptoms,Alcoholic Liver Disease,Pharmacological treatment for alcohol withdrawal symptoms,Use medications like benzodiazepines or anticonvulsants to manage alcohol withdrawal symptoms in alcoholic liver disease. Monitor liver function and mental status.
162, Nutritional Support,Alcoholic Liver Disease,Dietary modifications and supplements for liver health,Receive nutritional support including vitamin supplementation and balanced meals to support liver health in alcoholic liver disease. Avoid fatty foods and excess calories.
163, Liver Transplantation,Alcoholic Liver Disease,Surgical treatment for end-stage alcoholic liver disease,Consider liver transplantation for end-stage alcoholic liver disease. Abstain from alcohol and follow transplant team's recommendations for post-surgery care.
164, Gabapentin (300 mg capsule),Alcoholic Neuropathy,Medication for neuropathic pain in alcoholic neuropathy,Prescribe gabapentin 300 mg capsule for neuropathic pain management in alcoholic neuropathy. Titrate dosage based on pain relief and tolerability.
165, Vitamin B Complex,Alcoholic Neuropathy,Supplementation for vitamin deficiencies in alcoholic neuropathy,Provide vitamin B complex supplementation to address nutritional deficiencies contributing to alcoholic neuropathy. Monitor vitamin levels regularly.
166, Antidepressants (e.g. amitriptyline),Alcoholic Neuropathy,Medication for neuropathic symptoms and depression,Consider antidepressants like amitriptyline for pain relief and mood stabilization in alcoholic neuropathy. Monitor for side effects and response.
167, Physical Therapy,Alcoholic Neuropathy,Exercise and rehabilitation for functional improvement,Initiate physical therapy for alcoholic neuropathy to improve strength with balance and coordination. Focus on fall prevention and mobility training.
168, Nitisinone (2 mg tablet),Alkaptonuria,Medication for alkaptonuria treatment,Use nitisinone 2 mg tablet to reduce homogentisic acid levels and manage alkaptonuria. Monitor ochronosis progression and renal function regularly.
169, Dietary Protein Restriction,Alkaptonuria,Low-protein diet to minimize homogentisic acid production,Implement dietary protein restriction to reduce homogentisic acid accumulation in alkaptonuria. Monitor nutritional status and adjust diet as needed.
170, Joint Replacement Surgery,Alkaptonuria,Surgical intervention for severe joint damage in alkaptonuria,Consider joint replacement surgery for severe joint damage resulting from alkaptonuria. Follow post-operative rehabilitation guidelines.
171, Pain Management,Alkaptonuria,Medication for pain relief in alkaptonuria-related arthritis,Use analgesics and anti-inflammatory medications for pain management in alkaptonuria-related arthritis. Consider joint injections for localized symptoms.
